transcript	pSTR	str_genotype	STR_var_exp	eQTL_Chr	eQTL_peak	eQTL_classification	eQTL_var_exp	LD	LD_level	nSTR_pheno
F59E12.5b.1	STR_7726	STR length	0.21	II	6058955	Local eQTL	0.09	0.04	Low LD	2
F59E12.5b.2	STR_7726	STR genotype	0.22	II	6058955	Local eQTL	0.12	0.04	Low LD	2
F59E12.5b.2	STR_7726	STR length	0.22	II	6058955	Local eQTL	0.12	0.04	Low LD	2
F59E12.9.2	STR_7442	STR genotype	0.16	II	5615007	Local eQTL	0.24	0.66	Moderate LD	2
F59E12.9.2	STR_7747	STR length	0.14	II	5615007	Local eQTL	0.24	0.67	Moderate LD	2
F59F4.2.1	STR_31579	STR genotype	0.06	X	15844450	Local eQTL	0.17	0.48	Moderate LD	3
F59F4.2.1	STR_31591	STR length	0.18	X	15844450	Local eQTL	0.16	0.25	Low LD	4
F59G1.3.1	STR_7528	STR genotype	0.3	II	6307372	Local eQTL	0.31	0.91	High LD	2
F59G1.3.1	STR_7592	STR length	0.28	II	6307372	Local eQTL	0.3	0.85	High LD	2
F59G1.3.2	STR_7823	STR genotype	0.23	II	5036642	Local eQTL	0.26	0.82	High LD	2
F59G1.3.2	STR_7436	STR length	0.2	II	5036642	Local eQTL	0.22	0.92	High LD	2
F59H6.10.2	STR_6316	STR genotype	0.33	II	2181630	Local eQTL	0.47	0.75	High LD	2
F59H6.10.2	STR_6316	STR length	0.33	II	2181630	Local eQTL	0.46	0.75	High LD	2
F59H6.11.1	STR_6243	STR genotype	0.67	II	1736605	Local eQTL	0.71	0.87	High LD	2
F59H6.11.1	STR_6274	STR length	0.68	II	1736605	Local eQTL	0.71	0.93	High LD	2
F59H6.11.2	STR_6316	STR genotype	0.81	II	1735237	Local eQTL	0.91	0.89	High LD	2
F59H6.11.2	STR_6274	STR length	0.88	II	1735237	Local eQTL	0.96	0.93	High LD	2
F59H6.1.1	STR_6316	STR genotype	0.77	II	1735066	Local eQTL	0.86	0.85	High LD	2
F59H6.1.1	STR_6316	STR length	0.77	II	1735066	Local eQTL	0.86	0.85	High LD	2
F59H6.12.1	STR_6243	STR genotype	0.53	II	1735237	Local eQTL	0.71	0.81	High LD	2
F59H6.12.1	STR_6316	STR length	0.52	II	1735237	Local eQTL	0.67	0.85	High LD	2
F59H6.15.1	STR_6245	STR genotype	0.4	II	1664487	Local eQTL	0.48	0.83	High LD	2
F59H6.15.1	STR_6274	STR length	0.42	II	1664487	Local eQTL	0.48	0.4	Moderate LD	4
F59H6.3	STR_6316	STR genotype	0.8	II	1735066	Local eQTL	0.87	0.94	High LD	2
F59H6.3	STR_6316	STR length	0.8	II	1735066	Local eQTL	0.87	0.94	High LD	2
F59H6.4	STR_6274	STR genotype	0.33	II	1734572	Local eQTL	0.58	0.32	Moderate LD	4
F59H6.4	STR_6188	STR length	0.42	II	1734572	Local eQTL	0.44	0.73	High LD	2
F59H6.8.1	STR_6316	STR genotype	0.41	II	2188385	Local eQTL	0.45	0.89	High LD	2
F59H6.8.1	STR_6316	STR length	0.41	II	2188385	Local eQTL	0.45	0.89	High LD	2
F59H6.9.1	STR_6316	STR genotype	0.72	II	1735066	Local eQTL	0.75	0.94	High LD	2
F59H6.9.1	STR_6316	STR length	0.72	II	1735066	Local eQTL	0.75	0.94	High LD	2
H02F09.2.2	STR_27777	STR genotype	0.46	X	1573659	Local eQTL	0.48	0.92	High LD	2
H02F09.2.2	STR_27836	STR length	0.43	X	1573659	Local eQTL	0.51	0.79	High LD	2
H02I12.6.1	STR_19688	STR genotype	0.3	IV	12038229	Local eQTL	0.31	0.74	High LD	3
H02I12.6.1	STR_19854	STR length	0.26	IV	12038229	Local eQTL	0.29	0.88	High LD	2
H05C05.1a.2	STR_12113	STR genotype	0.4	III	3485330	Local eQTL	0.39	0.43	Moderate LD	3
H05C05.1a.2	STR_12113	STR length	0.24	III	3485330	Local eQTL	0.39	0.43	Moderate LD	3
H05C05.2a.1	STR_12113	STR genotype	0	III	2965094	Local eQTL	0.89	0.11	Low LD	3
H05C05.2a.1	STR_12113	STR length	0.29	III	2965094	Local eQTL	0.89	0.11	Low LD	3
H05C05.2a.2	STR_12113	STR genotype	0.04	III	2965094	Local eQTL	0.79	0.11	Low LD	3
H05C05.2a.2	STR_12113	STR length	0.14	III	2965094	Local eQTL	0.79	0.11	Low LD	3
H06I04.1a.1	STR_12184	STR genotype	0.32	III	2987712	Local eQTL	0.37	0.54	Moderate LD	2
H06I04.1a.1	STR_12184	STR length	0.32	III	2987712	Local eQTL	0.37	0.54	Moderate LD	2
H06I04.2a.1	STR_12200	STR genotype	0.28	III	3083368	Local eQTL	0.33	0.35	Moderate LD	2
H06I04.2a.1	STR_12200	STR length	0.26	III	3083368	Local eQTL	0.32	0.36	Moderate LD	2
H06I04.4a.1	STR_12183	STR genotype	0.51	III	3069214	Local eQTL	0.97	0.49	Moderate LD	2
H06I04.4a.1	STR_12086	STR length	0.35	III	3069214	Local eQTL	0.97	0	Low LD	3
H06I04.4a.2	STR_12183	STR genotype	0.37	III	3069214	Local eQTL	0.75	0.49	Moderate LD	2
H06I04.4a.2	STR_12086	STR length	0.28	III	3069214	Local eQTL	0.74	0	Low LD	3
H12D21.12.1	STR_25088	STR genotype	0.07	V	14962692	Local eQTL	0.31	0.21	Low LD	3
H12D21.12.1	STR_25088	STR length	0.03	V	14962692	Local eQTL	0.31	0.21	Low LD	3
H12D21.14.1	STR_25155	STR genotype	0.31	V	14856751	Local eQTL	0.35	0.87	High LD	2
H12D21.14.1	STR_25278	STR length	0.16	V	14856751	Local eQTL	0.33	0.28	Low LD	3
H12D21.15.1	STR_25155	STR genotype	0.31	V	14856751	Local eQTL	0.35	0.87	High LD	2
H12D21.15.1	STR_25278	STR length	0.16	V	14856751	Local eQTL	0.33	0.28	Low LD	3
H12D21.3.1	STR_25146	STR genotype	0.3	V	15095697	Local eQTL	0.26	0.7	High LD	2
H12D21.3.1	STR_25146	STR length	0.3	V	15095697	Local eQTL	0.26	0.7	High LD	2
H12I13.6.1	STR_7868	STR genotype	0.26	II	6059405	Local eQTL	0.29	0.55	Moderate LD	2
H12I13.6.1	STR_7868	STR length	0.26	II	6059405	Local eQTL	0.29	0.56	Moderate LD	2
H13N06.4a.2	STR_31250	STR genotype	0.16	X	15568040	Local eQTL	0.17	0.96	High LD	2
H13N06.4b.1	STR_31288	STR genotype	0.19	X	15633883	Local eQTL	0.19	0.94	High LD	2
H13N06.4b.1	STR_31288	STR length	0.19	X	15633883	Local eQTL	0.19	0.94	High LD	2
H15N14.1c.2	STR_3173	STR genotype	0.18	I	6864402	Local eQTL	0.19	0.84	High LD	2
H15N14.1c.2	STR_3173	STR length	0.18	I	6864402	Local eQTL	0.19	0.84	High LD	2
H15N14.1e.2	STR_3173	STR genotype	0.25	I	7652237	Local eQTL	0.25	1	High LD	2
H15N14.1e.2	STR_3173	STR length	0.25	I	7652237	Local eQTL	0.25	1	High LD	2
H16D19.3.1	STR_4628	STR genotype	0.46	I	12680464	Local eQTL	0.54	1	High LD	3
H16D19.3.1	STR_4628	STR length	0.52	I	12680464	Local eQTL	0.54	0.92	High LD	3
H16D19.4	STR_4648	STR genotype	0.54	I	12675474	Local eQTL	0.5	0.4	Moderate LD	2
H16D19.4	STR_4648	STR length	0.54	I	12675474	Local eQTL	0.5	0.4	Moderate LD	2
H16D19.5	STR_4628	STR genotype	0.68	I	12680464	Local eQTL	0.72	1	High LD	3
H16D19.5	STR_4628	STR length	0.61	I	12680464	Local eQTL	0.72	0.92	High LD	3
H16D19.6	STR_4628	STR genotype	0.58	I	12680464	Local eQTL	0.62	1	High LD	3
H16D19.6	STR_4628	STR length	0.53	I	12680464	Local eQTL	0.62	0.92	High LD	3
H16D19.7	STR_4648	STR genotype	0.44	I	12680533	Local eQTL	0.43	0.52	Moderate LD	2
H16D19.7	STR_4648	STR length	0.44	I	12680533	Local eQTL	0.43	0.52	Moderate LD	2
H17B01.3	STR_6004	STR genotype	0.15	II	1676521	Local eQTL	0.18	0.39	Moderate LD	2
H17B01.3	STR_6004	STR length	0.15	II	1676521	Local eQTL	0.18	0.39	Moderate LD	2
H20J04.4b.1	STR_7278	STR genotype	0.34	II	4338699	Local eQTL	0.34	0.55	Moderate LD	2
H20J04.4b.1	STR_7464	STR length	0.28	II	4338699	Local eQTL	0.35	0.4	Moderate LD	2
H20J04.6.2	STR_7233	STR genotype	0.36	II	4431492	Local eQTL	0.38	0.55	Moderate LD	2
H20J04.6.2	STR_7221	STR length	0.36	II	4431492	Local eQTL	0.34	0.51	Moderate LD	2
H20J04.9.1	STR_7218	STR genotype	0.33	II	4244581	Local eQTL	0.33	1	High LD	2
H20J04.9.1	STR_7065	STR length	0.29	II	4244581	Local eQTL	0.32	0.89	High LD	2
H23N18.4.1	STR_23370	STR genotype	0.26	V	4901609	Local eQTL	0.32	0.25	Low LD	2
H23N18.4.1	STR_23370	STR length	0.26	V	4901609	Local eQTL	0.32	0.25	Low LD	2
H24K24.3a.2	STR_21948	STR genotype	0.56	V	578181	Local eQTL	0.56	0.96	High LD	2
H24K24.3a.2	STR_21948	STR length	0.56	V	578181	Local eQTL	0.56	0.96	High LD	2
H24K24.3b.1	STR_21880	STR genotype	0.96	V	578181	Local eQTL	0.96	1	High LD	2
H24K24.3b.1	STR_21948	STR length	0.94	V	578181	Local eQTL	0.95	0.96	High LD	2
H24K24.4a.2	STR_21701	STR genotype	0.19	V	1009274	Local eQTL	0.2	0.63	Moderate LD	3
H25K10.4.1	STR_21181	STR genotype	0.07	IV	16272995	Local eQTL	0.08	0.15	Low LD	4
H25P19.1.1	STR_21880	STR genotype	0.41	V	36377	Local eQTL	0.4	0.97	High LD	2
H25P19.1.1	STR_21756	STR length	0.39	V	36377	Local eQTL	0.39	1	High LD	2
H28O16.2.1	STR_4630	STR genotype	0.35	I	12647535	Local eQTL	0.36	0.88	High LD	2
H28O16.2.1	STR_4628	STR length	0.35	I	12647535	Local eQTL	0.35	0.78	High LD	3
H31G24.3.1	STR_2271	STR genotype	0.17	I	3977983	Local eQTL	0.18	0.97	High LD	2
H31G24.3.1	STR_2271	STR length	0.17	I	3977983	Local eQTL	0.17	0.97	High LD	2
H37A05.4a.1	STR_24705	STR genotype	0.38	V	13722936	Local eQTL	0.58	0.46	Moderate LD	2
H37A05.4a.1	STR_24917	STR length	0.35	V	13722936	Local eQTL	0.45	0.24	Low LD	3
K01A2.3a	STR_5990	STR genotype	0.17	II	775060	Local eQTL	0.13	0.84	High LD	2
K01A2.3a	STR_5990	STR length	0.17	II	775060	Local eQTL	0.13	0.84	High LD	2
K01A2.7.1	STR_5751	STR genotype	0.16	II	946924	Local eQTL	0.18	0.06	Low LD	2
K01A2.7.1	STR_5751	STR length	0.16	II	946924	Local eQTL	0.19	0.06	Low LD	2
K01A2.8a.1	STR_5770	STR genotype	0.27	II	88086	Local eQTL	0.27	1	High LD	2
K01A2.8a.1	STR_5770	STR length	0.27	II	88086	Local eQTL	0.27	1	High LD	2
K01A2.8c.1	STR_5770	STR genotype	0.23	II	88086	Local eQTL	0.23	1	High LD	2
K01A2.8c.1	STR_5770	STR length	0.23	II	88086	Local eQTL	0.23	1	High LD	2
K01A2.8d.1	STR_5793	STR genotype	0.16	II	306200	Local eQTL	0.39	0.44	Moderate LD	2
K01C8.5.1	STR_8107	STR genotype	0.35	II	8084479	Local eQTL	0.36	0.98	High LD	3
K01C8.5.1	STR_8107	STR length	0.31	II	8084479	Local eQTL	0.36	0.98	High LD	3
K01C8.7a.1	STR_8248	STR genotype	0.89	II	7797559	Local eQTL	0.9	0.96	High LD	2
K01C8.7a.1	STR_7953	STR length	0.88	II	7797559	Local eQTL	0.91	0.98	High LD	2
K01C8.7b.1	STR_7953	STR genotype	0.95	II	7308038	Local eQTL	0.95	1	High LD	2
K01C8.7b.1	STR_7953	STR length	0.95	II	7308038	Local eQTL	0.95	1	High LD	2
K01D12.12.1	STR_24766	STR genotype	0.17	V	12866354	Local eQTL	0.22	0.67	Moderate LD	2
K01D12.12.1	STR_24766	STR length	0.17	V	12866354	Local eQTL	0.22	0.67	Moderate LD	2
K01G12.3.2	STR_20577	STR genotype	0.18	IV	14964178	Local eQTL	0.28	0.5	Moderate LD	3
K01G12.3.2	STR_20688	STR length	0.23	IV	14964178	Local eQTL	0.26	0.51	Moderate LD	3
K01G5.2b.1	STR_14377	STR genotype	0.05	III	10731404	Local eQTL	0.32	0.09	Low LD	3
K01G5.2b.1	STR_14377	STR length	0	III	10731404	Local eQTL	0.32	0.09	Low LD	3
K01G5.2c.1	STR_14243	STR genotype	0.14	III	10620819	Local eQTL	0.18	0.13	Low LD	3
K01G5.2c.1	STR_14243	STR length	0.17	III	10620819	Local eQTL	0.18	0.13	Low LD	3
K01G5.8a.1	STR_14352	STR genotype	0.27	III	10924547	Local eQTL	0.24	0.57	Moderate LD	4
K01G5.8a.1	STR_14488	STR length	0.27	III	10924547	Local eQTL	0.21	0.16	Low LD	3
K01G5.8a.2	STR_14206	STR genotype	0.42	III	10756158	Local eQTL	0.37	0.33	Moderate LD	2
K01G5.8a.2	STR_14206	STR length	0.42	III	10756158	Local eQTL	0.37	0.33	Moderate LD	2
K01G5.8b.1	STR_14247	STR genotype	0.52	III	10756158	Local eQTL	0.57	0.87	High LD	3
K01G5.8b.1	STR_14247	STR length	0.17	III	10756158	Local eQTL	0.58	0.84	High LD	3
K01G5.8b.2	STR_14206	STR genotype	0.47	III	10756158	Local eQTL	0.42	0.33	Moderate LD	2
K01G5.8b.2	STR_14206	STR length	0.47	III	10756158	Local eQTL	0.42	0.33	Moderate LD	2
K02C4.3c.1	STR_8202	STR genotype	0.17	II	8555186	Local eQTL	0.2	0.74	High LD	2
K02C4.3c.1	STR_8202	STR length	0.16	II	8555186	Local eQTL	0.19	0.73	High LD	2
K02D10.1c.1	STR_13790	STR genotype	0.3	III	8920680	Local eQTL	0.33	0.94	High LD	3
K02D10.1c.1	STR_13806	STR length	0.17	III	8920680	Local eQTL	0.36	0.6	Moderate LD	4
K02D10.4.2	STR_13795	STR genotype	0.16	III	7867229	Local eQTL	0.17	0.79	High LD	2
K02D10.4.2	STR_13795	STR length	0.16	III	7867229	Local eQTL	0.17	0.79	High LD	2
K02E11.1.1	STR_24991	STR genotype	0.16	V	14114354	Local eQTL	0.16	0.93	High LD	2
K02E11.1.1	STR_24991	STR length	0.16	V	14114354	Local eQTL	0.16	0.93	High LD	2
K02E2.4.1	STR_26844	STR genotype	0	V	20065063	Local eQTL	0.2	0.12	Low LD	3
K02E2.4.1	STR_27108	STR length	0.11	V	20065063	Local eQTL	0.2	0.35	Moderate LD	3
K02E7.11.1	STR_6061	STR genotype	0.29	II	1083817	Local eQTL	0.35	0.76	High LD	2
K02E7.11.1	STR_6061	STR length	0.29	II	1083817	Local eQTL	0.35	0.76	High LD	2
K02E7.12.1	STR_5983	STR genotype	0	II	1074233	Local eQTL	0.52	0.18	Low LD	3
K02E7.12.1	STR_5983	STR length	0.21	II	1074233	Local eQTL	0.52	0.17	Low LD	2
K02E7.4.1	STR_6057	STR genotype	0.82	II	902093	Local eQTL	0.78	0.95	High LD	2
K02E7.4.1	STR_6004	STR length	0.71	II	902093	Local eQTL	0.78	0.88	High LD	2
K02E7.6	STR_6006	STR genotype	0.65	II	1075610	Local eQTL	0.66	0.93	High LD	2
K02E7.6	STR_5770	STR length	0.52	II	1075610	Local eQTL	0.61	0.83	High LD	2
K02F3.6.2	STR_11027	STR genotype	0.01	III	583799	Local eQTL	0.35	0.86	High LD	3
K02F3.6.2	STR_11025	STR length	0.37	III	583799	Local eQTL	0.35	0.89	High LD	2
K02F6.3.1	STR_6312	STR genotype	0	II	2622464	Local eQTL	0.36	0.39	Moderate LD	3
K02F6.3.1	STR_6312	STR length	0.18	II	2622464	Local eQTL	0.36	0.4	Moderate LD	2
K02F6.4.1	STR_6557	STR genotype	0.25	II	2514462	Local eQTL	0.46	0.02	Low LD	3
K02F6.4.1	STR_6557	STR length	0.01	II	2514462	Local eQTL	0.46	0.02	Low LD	3
K02F6.6.1	STR_6623	STR genotype	0.22	II	2857584	Local eQTL	0.22	1	High LD	2
K02F6.6.1	STR_6642	STR length	0.19	II	2857584	Local eQTL	0.21	0.9	High LD	2
K02F6.7.2	STR_6696	STR genotype	0.16	II	2634728	Local eQTL	0.27	0.59	Moderate LD	2
K02H11.9.1	STR_22240	STR genotype	0.46	V	1313278	Local eQTL	0.31	0.42	Moderate LD	2
K02H11.9.1	STR_22240	STR length	0.46	V	1313278	Local eQTL	0.31	0.42	Moderate LD	2
K03A11.2.1	STR_30551	STR genotype	0.04	X	13124139	Local eQTL	0.18	0.05	Low LD	5
K03A11.2.1	STR_30519	STR length	0.16	X	13124139	Local eQTL	0.18	0.74	High LD	2
K03D7.7.1	STR_25500	STR genotype	0.41	V	16968524	Local eQTL	0.49	0.62	Moderate LD	2
K03D7.7.1	STR_25500	STR length	0.41	V	16968524	Local eQTL	0.49	0.62	Moderate LD	2
K03H1.10.2	STR_14010	STR genotype	0.73	III	9936067	Local eQTL	0.78	0.9	High LD	2
K03H1.10.2	STR_14010	STR length	0.73	III	9936067	Local eQTL	0.78	0.9	High LD	2
K03H1.3.1	STR_13941	STR genotype	0.62	III	9546872	Local eQTL	0.62	1	High LD	2
K03H1.3.1	STR_13902	STR length	0.03	III	9546872	Local eQTL	0.63	0.52	Moderate LD	3
K03H1.3.2	STR_13941	STR genotype	0.19	III	9546872	Local eQTL	0.19	1	High LD	2
K03H1.3.2	STR_13850	STR length	0.18	III	9546872	Local eQTL	0.22	0.87	High LD	2
K03H1.4.1	STR_13965	STR genotype	0.63	III	9892374	Local eQTL	0.59	0.82	High LD	2
K03H1.4.1	STR_13962	STR length	0.63	III	9892374	Local eQTL	0.59	0.6	Moderate LD	2
K03H1.4.2	STR_13965	STR genotype	0.63	III	9878346	Local eQTL	0.59	0.94	High LD	2
K03H1.4.2	STR_13962	STR length	0.63	III	9878346	Local eQTL	0.6	0.48	Moderate LD	2
K03H1.8	STR_14064	STR genotype	0.15	III	9880014	Local eQTL	0.15	1	High LD	2
K03H1.8	STR_14064	STR length	0.15	III	9880014	Local eQTL	0.15	1	High LD	2
K04B12.2a.2	STR_10358	STR genotype	0.41	II	14451415	Local eQTL	0.42	0.37	Moderate LD	3
K04B12.2a.2	STR_10358	STR length	0.42	II	14451415	Local eQTL	0.42	0.36	Moderate LD	2
K04B12.3a.1	STR_10350	STR genotype	0.06	II	14455896	Local eQTL	0.3	0.1	Low LD	3
K04B12.3a.1	STR_10380	STR length	0.22	II	14455896	Local eQTL	0.31	0.47	Moderate LD	2
K04B12.3b.2	STR_10341	STR genotype	0.85	II	14443859	Local eQTL	0.85	1	High LD	2
K04B12.3b.2	STR_10357	STR length	0.01	II	14443859	Local eQTL	0.83	0.79	High LD	3
K04C1.5.2	STR_30721	STR genotype	0.15	X	14249053	Local eQTL	0.16	0.79	High LD	2
K04C1.5.2	STR_30721	STR length	0.15	X	14249053	Local eQTL	0.16	0.79	High LD	2
K04G11.5a.2	STR_30952	STR genotype	0.1	X	14456056	Local eQTL	0.26	0.16	Low LD	3
K04G11.5a.2	STR_30952	STR length	0.21	X	14456056	Local eQTL	0.26	0.15	Low LD	3
K04H8.3.1	STR_5316	STR genotype	0.14	I	14400730	Local eQTL	0.36	0.55	Moderate LD	4
K04H8.3.1	STR_5404	STR length	0.26	I	14400730	Local eQTL	0.37	0.71	High LD	2
K05B2.3.2	STR_28840	STR genotype	0.1	X	5174133	Local eQTL	0.18	0.77	High LD	3
K05B2.5b.1	STR_28874	STR genotype	0.27	X	4736054	Local eQTL	0.27	1	High LD	2
K05B2.5b.1	STR_28874	STR length	0.27	X	4736054	Local eQTL	0.27	1	High LD	2
K05C4.7.1	STR_5630	STR genotype	0.16	I	14724173	Local eQTL	0.17	0.81	High LD	2
K05C4.7.1	STR_5630	STR length	0.16	I	14724173	Local eQTL	0.16	0.81	High LD	2
K05C4.8.1	STR_5619	STR genotype	0.24	I	14724173	Local eQTL	0.24	1	High LD	2
K05C4.8.1	STR_5619	STR length	0.25	I	14724173	Local eQTL	0.25	1	High LD	2
K05C4.9a.1	STR_5619	STR genotype	0.36	I	14724173	Local eQTL	0.36	1	High LD	2
K05C4.9a.1	STR_5619	STR length	0.36	I	14724173	Local eQTL	0.36	1	High LD	2
K05C4.9b.1	STR_5619	STR genotype	0.5	I	14676713	Local eQTL	0.49	0.92	High LD	2
K05C4.9b.1	STR_5619	STR length	0.5	I	14676713	Local eQTL	0.54	0.94	High LD	2
K05F6.10.1	STR_5983	STR length	0.2	II	1576933	Local eQTL	0.3	0.13	Low LD	2
K05F6.11.1	STR_6140	STR genotype	0.2	II	1489520	Local eQTL	0.22	0.59	Moderate LD	2
K06A9.1g.1	STR_27664	STR genotype	0.22	X	1516337	Local eQTL	0.19	0.87	High LD	2
K06A9.1g.1	STR_27547	STR length	0.17	X	1516337	Local eQTL	0.19	0.67	Moderate LD	2
K06B4.15.1	STR_25133	STR genotype	0.42	V	15014757	Local eQTL	0.44	0.97	High LD	3
K06B4.15.1	STR_25326	STR length	0.37	V	15014757	Local eQTL	0.43	0.78	High LD	2
K06B9.1.1	STR_18151	STR genotype	0.49	IV	4275614	Local eQTL	0.33	0.43	Moderate LD	4
K06B9.1.1	STR_18151	STR length	0.54	IV	4275614	Local eQTL	0.32	0.43	Moderate LD	2
K06B9.4	STR_18158	STR genotype	0.24	IV	4197890	Local eQTL	0.31	0.68	Moderate LD	3
K06B9.4	STR_18151	STR length	0.26	IV	4197890	Local eQTL	0.22	0.75	High LD	2
K06C4.10.1	STR_24132	STR genotype	0.17	V	8681460	Local eQTL	0.23	0.82	High LD	2
K06C4.10.1	STR_24132	STR length	0.17	V	8681460	Local eQTL	0.23	0.82	High LD	2
K06C4.12.1	STR_24132	STR genotype	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
K06C4.12.1	STR_24132	STR length	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
K06C4.13.1	STR_24091	STR genotype	0.2	V	9008821	Local eQTL	0.19	0.83	High LD	2
K06C4.13.1	STR_24091	STR length	0.19	V	9008821	Local eQTL	0.18	0.56	Moderate LD	2
K06C4.4.1	STR_24132	STR genotype	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
K06C4.4.1	STR_24132	STR length	0.21	V	8681460	Local eQTL	0.23	0.82	High LD	2
K06C4.5.1	STR_24091	STR genotype	0.22	V	8947708	Local eQTL	0.22	0.89	High LD	2
K06C4.5.1	STR_24091	STR length	0.22	V	8947708	Local eQTL	0.22	0.6	Moderate LD	2
K06G5.2.1	STR_30803	STR genotype	0.04	X	14232777	Local eQTL	0.53	0.01	Low LD	4
K06G5.2.1	STR_30836	STR length	0.05	X	14232777	Local eQTL	0.39	0.16	Low LD	3
K06H6.6	STR_21980	STR genotype	0.22	V	764745	Local eQTL	0.27	0.93	High LD	3
K06H6.6	STR_21756	STR length	0.2	V	764745	Local eQTL	0.26	0.79	High LD	2
K07B1.6a.2	STR_24091	STR genotype	0.18	V	9629716	Local eQTL	0.25	0.7	High LD	2
K07B1.6a.2	STR_24200	STR length	0.17	V	9629716	Local eQTL	0.19	0.57	Moderate LD	2
K07B1.6b.1	STR_24091	STR genotype	0.19	V	9008821	Local eQTL	0.24	0.83	High LD	2
K07B1.6b.1	STR_24091	STR length	0.18	V	9008821	Local eQTL	0.22	0.56	Moderate LD	2
K07B1.6b.2	STR_24190	STR genotype	0.28	V	9900175	Local eQTL	0.34	0.24	Low LD	2
K07B1.6b.2	STR_24190	STR length	0.28	V	9900175	Local eQTL	0.34	0.24	Low LD	2
K07D4.2.1	STR_6972	STR genotype	0.46	II	3511980	Local eQTL	0.46	1	High LD	2
K07D4.2.1	STR_7139	STR length	0.42	II	3511980	Local eQTL	0.42	1	High LD	2
K07E8.3.1	STR_5770	STR genotype	0.52	II	660199	Local eQTL	0.55	0.93	High LD	2
K07E8.3.1	STR_5770	STR length	0.52	II	660199	Local eQTL	0.55	0.93	High LD	2
K07E8.3.2	STR_6001	STR genotype	0.2	II	814142	Local eQTL	0.32	0.62	Moderate LD	3
K07E8.3.2	STR_5940	STR length	0.18	II	814142	Local eQTL	0.28	0.62	Moderate LD	2
K07E8.7a.1	STR_5961	STR genotype	0.39	II	648653	Local eQTL	0.45	0.94	High LD	2
K07E8.7a.1	STR_5940	STR length	0.31	II	648653	Local eQTL	0.46	0.73	High LD	2
K07E8.7b.1	STR_5961	STR genotype	0.84	II	648653	Local eQTL	0.9	0.94	High LD	2
K07E8.7b.1	STR_5940	STR length	0.66	II	648653	Local eQTL	0.9	0.73	High LD	2
K07G5.2.1	STR_3130	STR genotype	0.16	I	7570359	Local eQTL	0.18	0.87	High LD	2
K07G5.2.1	STR_3130	STR length	0.16	I	7570359	Local eQTL	0.18	0.87	High LD	2
K08A2.5c.1	STR_6729	STR genotype	0.72	II	3001440	Local eQTL	0.72	1	High LD	2
K08A2.5c.1	STR_6613	STR length	0.63	II	3001440	Local eQTL	0.72	0.87	High LD	2
K08C7.4.1	STR_19753	STR genotype	0.32	IV	10940663	Local eQTL	0.33	0.82	High LD	2
K08C7.4.1	STR_19753	STR length	0.34	IV	10940663	Local eQTL	0.31	0.85	High LD	2
K08D10.14.1	STR_18151	STR genotype	0.81	IV	4259608	Local eQTL	0.8	0.6	Moderate LD	4
K08D10.14.1	STR_18151	STR length	0.86	IV	4259608	Local eQTL	0.8	0.58	Moderate LD	2
K08D10.18	STR_18151	STR genotype	0.51	IV	4259608	Local eQTL	0.5	0.6	Moderate LD	4
K08D10.18	STR_18151	STR length	0.55	IV	4259608	Local eQTL	0.51	0.58	Moderate LD	2
K08D10.5	STR_18142	STR genotype	0.27	IV	4197890	Local eQTL	0.21	0.78	High LD	3
K08D10.5	STR_18142	STR length	0.29	IV	4197890	Local eQTL	0.2	0.8	High LD	2
K08D10.7.1	STR_18151	STR genotype	0.7	IV	4259608	Local eQTL	0.69	0.6	Moderate LD	4
K08D10.7.1	STR_18151	STR length	0.75	IV	4259608	Local eQTL	0.7	0.58	Moderate LD	2
K08D10.8.1	STR_18151	STR genotype	0.72	IV	4259608	Local eQTL	0.71	0.6	Moderate LD	4
K08D10.8.1	STR_18151	STR length	0.76	IV	4259608	Local eQTL	0.71	0.58	Moderate LD	2
K08D10.9	STR_18151	STR genotype	0.74	IV	4259608	Local eQTL	0.73	0.6	Moderate LD	4
K08D10.9	STR_18151	STR length	0.78	IV	4259608	Local eQTL	0.73	0.58	Moderate LD	2
K08D8.5.1	STR_20078	STR genotype	0.65	IV	12887293	Local eQTL	0.57	0.81	High LD	2
K08D8.5.1	STR_20086	STR length	0.69	IV	12887293	Local eQTL	0.59	0.82	High LD	2
K08D8.7a.1	STR_20116	STR genotype	0.16	IV	12887498	Local eQTL	0.19	0.74	High LD	3
K08D8.7a.1	STR_20116	STR length	0.17	IV	12887498	Local eQTL	0.19	0.72	High LD	2
K08D9.6.1	STR_22806	STR genotype	0.35	V	3441713	Local eQTL	0.36	0.71	High LD	2
K08D9.6.1	STR_22863	STR length	0.34	V	3441713	Local eQTL	0.35	0.7	High LD	2
K08D9.9.1	STR_22863	STR genotype	0.54	V	3193598	Local eQTL	0.53	0.93	High LD	2
K08D9.9.1	STR_22863	STR length	0.54	V	3193598	Local eQTL	0.53	0.93	High LD	2
K08E5.1b.1	STR_14270	STR genotype	0.55	III	10090816	Local eQTL	0.75	0.64	Moderate LD	2
K08E5.1b.1	STR_14381	STR length	0.45	III	10090816	Local eQTL	0.74	0.53	Moderate LD	2
K08E5.1b.2	STR_14270	STR genotype	0.57	III	10090816	Local eQTL	0.7	0.64	Moderate LD	2
